time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-5.39496007209e-06,7.88233229869e-07,9.99973777724,0.000327622146791,0.00189761673457,0.0,-0.000330880066644,4.99658834606e-05,-0.00874087139366,0.00518392746056,0.0139378031468,0.0,399.7684145073053,401.0362172169628,401.2003544552485,401.6706681682615
0.12000000000000001,-7.355657898e-05,1.28247903209e-05,10.0044415214,0.000646934674282,0.0029464637387,0.0,-0.00206692090113,0.000390456026238,0.165522257991,0.00242373635114,0.00754619008297,0.0,460.1152141516712,459.6089966438317,459.96609717632174,459.747454445125
0.18,-0.000289532722738,5.34860866345e-05,10.0221552852,0.00083236833048,0.00686305790163,0.0,-0.00559990364097,0.000986539750953,0.424873833225,0.00372199349609,0.02676916553,0.0,483.61176895646264,485.0571755180059,485.39177242877093,485.48911661812167
0.23999999999999996,-0.000777286297491,0.000131736864616,10.0489810544,0.00189970642146,0.0125774712209,0.0,-0.0112163085806,0.00171350838079,0.469295845801,0.0126572107465,0.00333327959804,0.0,420.16517985727927,418.12878272179256,418.67197862388184,419.4484518340918
0.3,-0.00170606063712,0.000275379868045,10.0793773813,0.00276422354341,0.0138750122859,0.0,-0.0198824143529,0.00315695001079,0.543879946506,0.0152055454132,-0.00940551940943,0.0,429.9658330683815,428.8854246423767,428.5131851306042,428.7296167397111
0.36000000000000004,-0.00319800170075,0.000530192030668,10.11575448,0.0044761192664,0.0145600268469,0.0,-0.0299087369083,0.00550832662053,0.66862326473,0.0238740105292,0.00169741612069,0.0,444.2929524077975,445.2022825995643,444.9620514154058,445.670965144637
0.4200000000000001,-0.00529845535556,0.000959745644702,10.158986885,0.00598364889276,0.0156036303316,0.0,-0.0402027910834,0.00896897335867,0.772389644823,0.0194411407537,0.0111956286379,0.0,437.8958814756333,438.6850962151472,439.0887407831942,438.720923604905
0.48000000000000015,-0.0080133176981,0.00161982859117,10.2068946912,0.00777021527574,0.0163042247335,0.0,-0.050361889843,0.0132125278009,0.824498294779,0.00953179982864,0.00778140030938,0.0,421.1910583337171,420.89559731375215,423.5546268733146,422.70158486542834
0.5400000000000001,-0.0114083595339,0.0025899580093,10.2611658251,0.00851505265917,0.0181882359266,0.0,-0.0629999299866,0.0192027837051,0.984410870357,0.0130425874717,0.0196770124408,0.0,455.50810202558694,456.4581564906903,456.4022733463168,456.6822297553906
0.6000000000000002,-0.0155560715912,0.00391331193594,10.3223378887,0.00928569102668,0.0205679165161,0.0,-0.0754777875212,0.0249846896377,1.05459018458,0.011942662168,0.030532099922,0.0,427.7483097905819,428.6716983412361,428.58847756370216,428.4948799687365
0.6600000000000003,-0.0205510612511,0.00564326057218,10.3902210244,0.0147359650312,0.0226064342246,0.0,-0.0912387001365,0.0333051979376,1.20801881933,-0.0131211957275,0.0344536048808,0.0,454.2890261479804,454.6036672988492,456.0104382256947,454.0040857037334
0.7200000000000003,-0.0265469768424,0.00797437220331,10.4675086247,0.0153461309258,0.0260200044032,0.0,-0.10898699168,0.0444502447547,1.36804604556,-0.00131609091163,0.0460206672948,0.0,456.31751332287627,457.24053406714944,456.93547559581316,457.87562065698813
0.7800000000000004,-0.0336959028083,0.0109927359941,10.5548365534,0.0152732502672,0.0292664687954,0.0,-0.129664647456,0.0561530329386,1.54265452161,-0.00398913260686,0.052544877452,0.0,460.22179160806974,460.7391803012532,463.4484281501426,463.2383475418098
0.8400000000000004,-0.0419589157302,0.014609843139,10.6458333049,0.015810368089,0.0332925429093,0.0,-0.146084483222,0.0644693848661,1.49062859026,-0.0149161883224,0.0616521455358,0.0,388.83158054116825,389.68634927730824,387.8121738095854,386.78461489025847
0.9000000000000005,-0.0514457223713,0.0188065472544,10.7383305443,0.0162657215522,0.0410593266237,0.0,-0.170956268295,0.0754526357293,1.59244343765,-0.00333030384675,0.0383258479702,0.0,441.5675537079432,439.6412251688625,438.6261487618965,439.587301979024
0.9600000000000005,-0.0626520749131,0.0237054286666,10.8388885968,0.016822532997,0.0453449798025,0.0,-0.20304291759,0.087913263481,1.75922551925,-0.0141342089708,0.0526102161058,0.0,460.7273031599541,461.8561710006117,459.74767822336497,458.8910369357997
1.0200000000000005,-0.0758421005913,0.0293472176571,10.9486862076,0.0166136209079,0.0484928589437,0.0,-0.236956140157,0.100111183595,1.90045137884,-0.00649471040866,0.0520365421864,0.0,454.01666601673304,453.9723636244294,451.85814979821197,452.4736702819436
1.0800000000000005,-0.0912856232119,0.0357661932122,11.0699841156,0.0162163739696,0.0518669986966,0.0,-0.278217853945,0.113800485844,2.14236561081,-0.00842421372106,0.0564642401008,0.0,483.9991903708203,484.3339224900432,483.0054315380476,482.8600174474393
1.1400000000000006,-0.109120042746,0.0429903612657,11.2025642538,0.0266976805086,0.0552554552327,0.0,-0.316613257644,0.128162703262,2.2766642367,-0.0459540457257,0.0564939704601,0.0,452.65289269167965,452.65739769371515,453.7482285866589,450.7253198281294
1.2000000000000006,-0.129267875255,0.0512208621906,11.3420083292,0.0247905742287,0.0593470960432,0.0,-0.355377886827,0.145999473554,2.37125432109,-0.0573257102458,0.0645500325952,0.0,440.15158382630284,440.82026699710906,441.36172289130093,440.42063720535566
1.2600000000000007,-0.152027944834,0.0605682225758,11.4904282076,0.0245195865742,0.064196395542,0.0,-0.403824297947,0.165513468333,2.57559343966,-0.0389896916134,0.0742398362782,0.0,473.67150666037895,474.41921108518784,474.5055364966656,475.90950442289414
